Average Market Capitalization of listed companies during the six months ended 30 June 2020,,,,,,,,,,
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,RELIANCE INDUSTRIES LTD,INE002A01018,RELIANCE,893835.87,RELIANCE," 8,93,778.21 ",,," 8,93,807.04 ", Large Cap 
2,TATA CONSULTANCY SERVICES LTD.,INE467B01029,TCS,751701.96,TCS," 7,51,744.67 ",,," 7,51,723.31 ", Large Cap 
3,HDFC BANK LTD.,INE040A01034,HDFCBANK,578180.54,HDFCBANK," 5,77,825.75 ",,," 5,78,003.14 ", Large Cap 
4,"HINDUSTAN UNILEVER LTD.,",INE030A01027,HINDUNILVR,472707.64,HINDUNILVR," 4,70,496.23 ",,," 4,71,601.93 ", Large Cap 
5,HOUSING DEVELOPMENT FINANCE CORP.LT,INE001A01036,HDFC,340773.90,HDFC," 3,40,015.69 ",,," 3,40,394.80 ", Large Cap 
6,INFOSYS LTD,INE009A01021,INFY,300420.56,INFY," 3,00,370.59 ",,," 3,00,395.58 ", Large Cap 
7,BHARTI AIRTEL  LTD.,INE397D01024,BHARTIARTL,279544.16,BHARTIARTL," 2,78,849.32 ",,," 2,79,196.74 ", Large Cap 
8,KOTAK MAHINDRA BANK LTD.,INE237A01028,KOTAKBANK,273219.40,KOTAKBANK," 2,71,856.56 ",,," 2,72,537.98 ", Large Cap 
9,ICICI BANK LTD.,INE090A01021,ICICIBANK,269273.96,ICICIBANK," 2,69,179.10 ",,," 2,69,226.53 ", Large Cap 
10,ITC LTD,INE154A01025,ITC,239423.35,ITC," 2,39,372.37 ",,," 2,39,397.86 ", Large Cap 
11,"STATE BANK OF INDIA,",INE062A01020,SBIN,210026.95,SBIN," 2,10,033.84 ",,," 2,10,030.39 ", Large Cap 
12,BAJAJ FINANCE LIMITED,INE296A01024,BAJFINANCE,193424.09,BAJFINANCE," 1,93,407.30 ",,," 1,93,415.70 ", Large Cap 
13,MARUTI SUZUKI INDIA  LTD.,INE585B01010,MARUTI,178450.22,MARUTI," 1,78,462.97 ",,," 1,78,456.59 ", Large Cap 
14,ASIAN PAINTS LTD.,INE021A01026,ASIANPAINT,165236.75,ASIANPAINT," 1,65,209.65 ",,," 1,65,223.20 ", Large Cap 
15,NESTLE INDIA LTD.,INE239A01016,NESTLEIND,155638.82,,,,," 1,55,638.82 ", Large Cap 
16,AXIS BANK LTD.,INE238A01034,AXISBANK,150885.26,AXISBANK," 1,50,858.31 ",,," 1,50,871.78 ", Large Cap 
17,HCL TECHNOLOGIES LTD,INE860A01027,HCLTECH,146785.23,HCLTECH," 1,46,774.09 ",,," 1,46,779.66 ", Large Cap 
18,LARSEN & TOUBRO LIMITED,INE018A01030,LT,146224.20,LT," 1,46,208.35 ",,," 1,46,216.27 ", Large Cap 
19,AVENUE SUPERMARTS LIMITED,INE192R01011,DMART,141469.81,DMART," 1,40,859.95 ",,," 1,41,164.88 ", Large Cap 
20,"WIPRO  LTD.,",INE075A01022,WIPRO,122347.57,WIPRO," 1,22,336.00 ",,," 1,22,341.78 ", Large Cap 
21,OIL AND NATURAL GAS CORPORATION LTD,INE213A01029,ONGC,112307.12,ONGC," 1,12,329.11 ",,," 1,12,318.11 ", Large Cap 
22,ULTRATECH CEMENT LTD,INE481G01011,ULTRACEMCO,112026.84,ULTRACEMCO," 1,12,008.85 ",,," 1,12,017.85 ", Large Cap 
23,BAJAJ FINSERV LIMITED,INE918I01018,BAJAJFINSV,109028.41,BAJAJFINSV," 1,09,028.02 ",,," 1,09,028.22 ", Large Cap 
24,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,106683.32,HDFCLIFE," 1,06,677.22 ",,," 1,06,680.27 ", Large Cap 
25,SUN PHARMACEUTICAL INDUSTRIES LTD.,INE044A01036,SUNPHARMA*,104624.81,SUNPHARMA," 1,04,636.46 ",,," 1,04,630.64 ", Large Cap 
26,NTPC LIMITED,INE733E01010,NTPC,99370.72,NTPC," 99,343.77 ",,," 99,357.24 ", Large Cap 
27,COAL INDIA LIMITED,INE522F01014,COALINDIA,97684.69,COALINDIA," 96,969.53 ",,," 97,327.11 ", Large Cap 
28,TITAN COMPANY LIMITED,INE280A01028,TITAN,93148.76,TITAN," 93,150.57 ",,," 93,149.66 ", Large Cap 
29,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,91113.88,POWERGRID," 91,092.82 ",,," 91,103.35 ", Large Cap 
30,INDIAN OIL CORPORATION LTD.,INE242A01010,IOC,90288.29,IOC," 90,272.22 ",,," 90,280.25 ", Large Cap 
31,"BHARAT PETROLEUM CORPN. LTD.,",INE029A01011,BPCL,84666.29,BPCL," 84,667.26 ",,," 84,666.77 ", Large Cap 
32,DABUR INDIA LTD.,INE016A01026,DABUR,83053.87,DABUR," 83,059.04 ",,," 83,056.46 ", Large Cap 
33,SBI LIFE INSURANCE COMPANY LIMITED,INE123W01016,SBILIFE,81088.54,SBILIFE," 81,108.94 ",,," 81,098.74 ", Large Cap 
